"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"South Africa","ZAF","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","63.3","63.3","63.3","63.3","64.7","66.1","67.5","68.9","70.3","71.6","73","74.4","75.8","77.2","78.6","79.9","81.3","82.7","84.1","85.5","86.9","88.3","","",
"Algeria","DZA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6","87.6","87.6","87.6","87","86.5","86","85.4","84.9","84.3","83.8","83.3","82.7","82.2","81.6","81.1","80.6","80","79.5","79.5","79.5","79.5","79.5","","",
"Angola","AGO","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8","41.8","41.8","41.8","41.8","41.4","41","40.6","40.2","39.7","39.3","38.9","38.5","38.1","37.6","37.2","36.8","36.4","36","35.5","35.1","34.7","34.3","","",
"Benin","BEN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1","50.1","51","52","52.9","53.9","54.8","55.8","56.7","57.7","58.6","59.6","60.5","61.5","62.4","63.4","64.3","65.3","66.2","67.2","68.1","69.1","69.1","","",
"Botswana","BWA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.2","86.6","86.9","87.2","87.6","87.9","88.2","88.5","88.9","89.2","89.5","89.9","90.2","90.5","90.9","91.2","91.5","91.8","92.2","92.5","92.8","92.8","92.8","","",
"Burkina Faso","BFA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6","38.6","40.3","42.1","43.9","45.7","47.4","49.2","51","52.8","54.5","56.3","58.1","59.9","61.6","63.4","65.2","67","68.7","70.5","72.3","74.1","75.8","","",
"Cameroon","CMR","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","34.4","35.2","36","36.9","37.7","38.5","39.4","40.2","41","41.9","42.7","43.5","44.4","45.2","46","46.9","47.7","48.5","49.4","50.2","51","51.9","","",
"Cabo Verde","CPV","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.1","79.1","79.1","79.1","79.1","79.5","79.9","80.4","80.8","81.2","81.7","82.1","82.5","83","83.4","83.8","84.3","84.7","85.1","85.6","86","","",
"Comoros","COM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8","83.7","84.6","85.5","86.3","87.2","88.1","88.9","89.8","90.7","91.5","92.4","93.3","94.1","95","95.9","96.7","96.7","96.7","96.7","96.7","96.7","96.7","","",
"Congo, Rep.","COG","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1","32.1","32.1","32.1","32.1","32.7","33.3","33.9","34.6","35.2","35.8","36.4","37","37.6","38.2","38.8","","",
"Egypt, Arab Rep.","EGY","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.2","90.7","91.1","91.5","91.9","92.4","92.8","93.2","93.7","94.1","94.5","94.9","95.4","95.8","96.2","96.7","97.1","97.5","97.9","98.4","98.8","98.8","98.8","","",
"Equatorial Guinea","GNQ","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","","","","","","","","",
"Gabon","GAB","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","37","37","38.9","40.7","42.6","44.4","46.3","48.1","50","51.8","53.7","55.5","57.4","59.3","61.1","63","","",
"Gambia, The","GMB","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.6","70.2","70.9","71.6","72.3","72.9","73.6","74.3","74.9","75.6","76.3","77","77.6","78.3","79","79.7","80.3","81","81.7","82.3","83","83.7","84.4","","",
"Ghana","GHA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6","39.6","41.6","43.6","45.6","47.5","49.5","51.5","53.5","55.5","57.5","59.4","61.4","63.4","65.4","67.4","69.4","71.3","73.3","75.3","77.3","79.3","81.3","","",
"Guinea-Bissau","GNB","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2","33.3","34.3","35.4","36.4","37.5","38.6","39.6","40.7","41.7","42.8","43.9","44.9","46","47","48.1","49.2","50.2","51.3","52.4","53.4","54.5","55.5","","",
"Guinea","GIN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.1","40.3","41.5","42.6","43.8","45","46.2","47.4","48.5","49.7","50.9","52.1","53.3","54.4","55.6","56.8","58","59.2","60.3","61.5","62.7","63.9","65","","",
"Cote d'Ivoire","CIV","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.7","66.7","66.8","66.8","66.9","66.9","67","67","67.1","67.1","67.2","67.2","67.3","67.4","67.4","67.5","67.5","67.6","67.6","67.7","67.7","67.8","67.8","","",
"Lesotho","LSO","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.9","74.9","74.9","74.9","74.9","75","75.1","75.2","75.3","75.4","75.5","75.6","75.7","75.8","75.9","76","76.1","76.2","76.3","76.4","76.5","76.6","76.7","","",
"Liberia","LBR","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3","47.3","47.3","47.3","47.3","48.4","49.5","50.7","51.8","52.9","54","55.1","56.3","57.4","58.5","59.6","60.8","61.9","63","","",
"Libya","LBY","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.9","54.9","54.9","54.9","54.9","54.9","54.9","54.9","54.9","54.9","54.9","54.9","","","","","","","","","","","","","",
"Madagascar","MDG","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","16","16.9","17.8","18.7","19.6","20.6","21.5","22.4","23.3","24.3","25.2","26.1","27","28","28.9","29.8","30.7","31.7","32.6","33.5","34.4","35.4","","",
"Malawi","MWI","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7","37.8","40","42.2","44.3","46.5","48.6","50.8","53","55.1","57.3","59.4","61.6","63.8","65.9","68.1","70.3","72.4","74.6","76.7","78.9","81.1","83.2","","",
"Mali","MLI","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","22","23.5","25.1","26.6","28.1","29.7","31.2","32.7","34.3","35.8","37.3","38.8","40.4","41.9","43.4","45","46.5","48","49.6","51.1","52.6","54.2","","",
"Mauritania","MRT","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2","27.3","28.5","29.6","30.7","31.8","33","34.1","35.2","36.4","37.5","38.6","39.8","40.9","42","43.2","44.3","45.4","46.5","47.7","47.7","47.7","47.7","","",
"Mauritius","MUS","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.8","98.9","98.9","99","99.1","99.2","99.2","99.3","99.4","99.5","99.5","99.6","99.7","99.7","","",
"Morocco","MAR","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3","53.7","54.2","54.7","55.1","55.6","56.1","56.6","57","57.5","58","58.4","58.9","59.4","59.8","60.3","60.8","61.2","61.7","62.2","62.7","63.1","63.6","","",
"Mozambique","MOZ","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","23.3","23.3","23.3","23.3","24","24.6","25.3","25.9","26.5","27.2","27.8","28.5","29.1","29.8","30.4","31.1","31.7","32.4","33","33.7","34.3","35","","",
"Namibia","NAM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.2","56.7","58.1","59.6","61.1","62.5","64","65.5","66.9","68.4","69.8","71.3","72.8","74.2","75.7","77.2","78.6","80.1","81.5","83","84.5","85.9","87.4","","",
"Niger","NER","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5","30.1","30.7","31.2","31.8","32.4","33","33.5","34.1","34.7","35.2","35.8","36.4","37","37.5","38.1","38.7","39.2","39.8","40.4","41","41.5","42.1","","",
"Nigeria","NGA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","29","29.9","30.9","31.8","32.8","33.8","34.7","35.7","36.6","37.6","38.5","39.5","40.5","41.4","42.4","43.3","44.3","45.3","46.2","47.2","48.1","49.1","","",
"Sao Tome and Principe","STP","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.4","65.4","65.4","65.4","65.4","67.6","69.8","72","74.1","76.3","78.5","80.6","82.8","85","87.1","89.3","91.5","93.6","93.6","","",
"Senegal","SEN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7","42.6","43.4","44.3","45.1","46","46.8","47.6","48.5","49.3","50.2","51","51.9","52.7","53.5","54.4","55.2","56.1","56.9","57.8","58.6","59.5","60.3","","",
"Seychelles","SYC","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","","",
"Sierra Leone","SLE","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4","23.3","24.2","25.1","26","26.9","27.8","28.7","29.7","30.6","31.5","32.4","33.3","34.2","35.1","36","36.9","37.8","38.7","39.7","40.6","41.5","42.4","","",
"Sudan","SDN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3","61.3","60.7","60.1","59.5","58.9","58.4","57.8","57.2","56.6","56","55.4","54.9","54.3","53.7","53.1","52.5","51.9","51.4","50.8","50.2","50.2","50.2","","",
"Swaziland","SWZ","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","24.9","24.9","24.9","27.2","29.5","31.9","34.2","36.5","38.8","41.1","43.4","45.7","48","50.4","52.7","55","57.3","59.6","61.9","64.2","66.5","68.9","","",
"Tanzania","TZA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","45.9","45.8","45.7","45.6","45.5","45.4","45.4","45.3","45.2","45.1","45","44.9","44.8","44.7","44.6","44.6","44.5","44.4","44.3","44.2","44.1","44","","",
"Togo","TGO","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2","36.4","36.5","36.7","36.9","37.1","37.3","37.5","37.7","37.9","38.1","38.2","38.4","38.6","38.8","39","39.2","39.4","39.6","39.8","39.9","40.1","40.3","","",
"Tunisia","TUN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","64.5","65.8","67","68.2","69.5","70.7","72","73.2","74.4","75.7","76.9","78.1","79.4","80.6","81.8","83.1","84.3","85.5","86.8","88","89.2","90.5","","",
"Uganda","UGA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2","38.7","40.3","41.8","43.3","44.9","46.4","47.9","49.5","51","52.5","54.1","55.6","57.1","58.7","60.2","61.8","63.3","64.8","66.4","67.9","69.4","71","","",
"Zambia","ZMB","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1","24.3","25.5","26.7","27.9","29","30.2","31.4","32.6","33.8","35","36.2","37.4","38.6","39.7","40.9","42.1","43.3","44.5","45.7","46.9","48.1","49.2","","",
"Zimbabwe","ZWE","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.8","70.7","70.6","70.5","70.4","70.3","70.2","70.1","70","69.9","69.8","69.7","69.6","69.6","69.5","69.4","69.3","69.2","69.1","69","68.9","68.8","68.7","","",
"Somalia","SOM","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6","19.6","19.6","19.6","19.6","18.5","17.5","16.4","15.3","14.2","13.1","12","11","9.9","8.8","8.8","8.8","8.8","8.8","","","",
"Ethiopia","ETH","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","5.4","7.3","9.3","11.2","13.1","15.1","17","18.9","20.8","22.8","24.7","26.6","28.6","30.5","32.4","34.3","36.3","38.2","40.1","42.1","","",
"Kenya","KEN","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.9","33.9","34.9","35.9","36.9","37.9","38.9","39.9","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55.1","","",
"South Sudan","SSD","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3","61.3","60.7","60.1","59.5","58.9","58.4","57.8","57.2","56.6","56","55.4","54.9","54.3","53.7","53.1","52.5","51.9","51.4","50.8","50.2","55","55","","",
"Eritrea","ERI","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","38.9","38.9","38.9","40.6","42.2","43.8","45.4","47","48.6","50.3","51.9","53.5","55.1","56.7","56.7","56.7","56.7","56.7","","","","","","",
"Congo, Dem. Rep.","COD","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8","25.8","25.8","25.8","25.9","26.1","26.3","26.4","26.6","26.8","27","27.1","27.3","27.5","27.7","27.8","28","28.2","28.3","28.5","28.7","28.9","29","","",
"Tanzania","TZA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","45.9","45.8","45.7","45.6","45.5","45.4","45.4","45.3","45.2","45.1","45","44.9","44.8","44.7","44.6","44.6","44.5","44.4","44.3","44.2","44.1","44","","",
"Uganda","UGA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2","38.7","40.3","41.8","43.3","44.9","46.4","47.9","49.5","51","52.5","54.1","55.6","57.1","58.7","60.2","61.8","63.3","64.8","66.4","67.9","69.4","71","","",
"Rwanda","RWA","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6","59.1","59.5","59.9","60.4","60.8","61.3","61.7","62.1","62.6","63","63.5","63.9","64.3","64.8","65.2","65.7","66.1","66.5","67","67.4","67.9","68.3","","",
"Burundi","BDI","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","67.3","67.6","67.8","68.1","68.4","68.7","69","69.3","69.5","69.8","70.1","70.4","70.7","70.9","71.2","71.5","71.8","72.1","72.4","72.6","72.9","73.2","","",
"Djibouti","DJI","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3","60.3","60.3","60.3","60.3","60.6","60.9","61.2","61.5","61.8","62.1","62.4","62.7","63","63.3","63.6","64","64.3","64.6","64.9","65.2","65.5","65.5","","",
"Central African Republic","CAF","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","46.4","46.4","46.8","47.2","47.6","48","48.4","48.8","49.2","49.6","50","50.4","50.8","51.2","51.6","52","52.4","52.8","53.2","53.6","54","54.4","","",
"Chad","TCD","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2","37.6","37.9","38.3","38.6","38.9","39.3","39.6","40","40.3","40.7","41","41.3","41.7","42","42.4","42.7","43","43.4","43.7","44.1","44.4","44.8","","",
"South Africa","ZAF","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","63.3","63.3","63.3","63.3","64.7","66.1","67.5","68.9","70.3","71.6","73","74.4","75.8","77.2","78.6","79.9","81.3","82.7","84.1","85.5","86.9","88.3","","",
